Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Europe & Central Asia (IDA & IBRD countries),23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854789,23854859,23854859,23854869,23854939,23854929,23854859,23854859,23854859,23854859,23854859,23854859,23854929,23854929,23854919,23854919,23854919,23854918,23854928,23854928,23854928,23854928,23853754,23853754
Togo,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790
Thailand,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120
Tajikistan,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,141376,141376
Turkmenistan,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100
Latin America & the Caribbean (IDA & IBRD countries),20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317276,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289998,20289998,20289996,20289997,20289997,20289997
Timor-Leste,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870
Middle East & North Africa (IDA & IBRD countries),8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8769400,8769400,8769400,8769210,8769210,8769210,8769210
Tonga,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
South Asia (IDA & IBRD),5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5135333,5135333
Sub-Saharan Africa (IDA & IBRD countries),24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5
Trinidad and Tobago,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
Tunisia,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610
Turkey,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350
Tuvalu,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Tanzania,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300
Uganda,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550
Ukraine,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550
Upper middle income,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996940,56996942,56996942,56996942,56996932,56996922,56996922,56969732,56969732,56969722,56969716.2,56969715.2,56969714.7,56969724.5,56969723.8,56969723.4,56969722.8,56969722.8,56967183,56967185,56967185,56966993,56966994,56966994,56966994
Uruguay,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220
United States,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
Uzbekistan,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400
St. Vincent and the Grenadines,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
"Venezuela, RB",912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050
British Virgin Islands,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Virgin Islands (U.S.),350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Vietnam,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,331690,329570,329570,331610,331690,331690,331690,331690,331690,331690,331690,330350,330360,330360,331030,331060,331090,331110,331110,331110,331110,331110,331110,331110,329240,329250,329300,329310,329314,331212,331212,331212,331051,331051,330954,330957,330971,330972,330967,330967
Vanuatu,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190
World,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134043190.4,134041070.4,134041070.4,134043110.4,134043100.4,134043100.4,134043100.4,134043100.4,134043100.4,134043100.4,134043100.4,134041760.4,134041770.4,134041770.4,134042440.4,134044270.4,134044322.4,134044432.4,134037519.4,134037549.4,134037629.4,134106369.4,134079109.4,134079109.4,134112310.4,134112700.6,134113125.6,134113527.1,134111670.9,134113628.2,134113963.4,134114004.4,134313473.4,134311145.9,134311372.1,134329501.8,134326743.8,134327081.2,134325130.2,134325130.2
Samoa,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
Kosovo,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887
"Yemen, Rep.",527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970
South Africa,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090
Zambia,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610
Zimbabwe,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760
